# SLOPE SCORES — PER TIMEPOINT
group,concentration_cfu_ml,time_min,weighted_score,above_threshold
10^5,100000.0,75,4.0,False
10^5,100000.0,80,4.0,False
10^5,100000.0,85,4.0,False
10^5,100000.0,90,4.0,False
10^5,100000.0,95,4.0,False
10^5,100000.0,100,4.0,False
10^5,100000.0,105,0.0,False
10^5,100000.0,110,0.0,False
10^5,100000.0,115,1.0,False
10^5,100000.0,120,4.0,False
10^6,1000000.0,0,0.0,False
10^6,1000000.0,5,0.0,False
10^6,1000000.0,10,0.0,False
10^6,1000000.0,15,0.0,False
10^6,1000000.0,20,0.0,False
10^6,1000000.0,25,0.0,False
10^6,1000000.0,30,0.0,False
10^6,1000000.0,35,0.0,False
10^6,1000000.0,40,0.0,False
10^6,1000000.0,45,0.0,False
10^6,1000000.0,50,0.0,False
10^6,1000000.0,55,0.0,False
10^6,1000000.0,60,0.0,False
10^6,1000000.0,65,2.0,False
10^6,1000000.0,70,2.0,False
10^6,1000000.0,75,2.0,False
10^6,1000000.0,80,2.0,False
10^6,1000000.0,85,2.0,False
10^6,1000000.0,90,2.0,False
10^6,1000000.0,95,2.0,False
10^6,1000000.0,100,0.0,False
10^6,1000000.0,105,3.0,False
10^6,1000000.0,110,4.0,False
10^6,1000000.0,115,3.0,False
10^6,1000000.0,120,0.0,False
10^6,1000000.0,125,6.0,True
10^7,10000000.0,0,0.0,False
10^7,10000000.0,5,0.0,False
10^7,10000000.0,10,0.0,False
10^7,10000000.0,15,0.0,False
10^7,10000000.0,20,0.0,False
10^7,10000000.0,25,0.0,False
10^7,10000000.0,30,0.0,False
10^7,10000000.0,35,0.0,False
10^7,10000000.0,40,0.0,False
10^7,10000000.0,45,0.0,False
10^7,10000000.0,50,2.0,False
10^7,10000000.0,55,0.0,False
10^7,10000000.0,60,2.0,False
10^7,10000000.0,65,2.0,False
10^7,10000000.0,70,2.0,False
10^7,10000000.0,75,2.0,False
10^7,10000000.0,80,2.0,False
10^7,10000000.0,85,2.0,False
10^7,10000000.0,90,4.0,False
10^7,10000000.0,95,4.0,False
10^7,10000000.0,100,4.0,False
10^7,10000000.0,105,3.0,False
10^7,10000000.0,110,5.0,True
10^7,10000000.0,115,3.0,False
10^7,10000000.0,120,4.0,False
10^8 (Positive Control),100000000.0,0,0.0,False
10^8 (Positive Control),100000000.0,5,0.0,False
10^8 (Positive Control),100000000.0,10,0.0,False
10^8 (Positive Control),100000000.0,15,0.0,False
10^8 (Positive Control),100000000.0,20,0.0,False
10^8 (Positive Control),100000000.0,25,0.0,False
10^8 (Positive Control),100000000.0,30,0.0,False
10^8 (Positive Control),100000000.0,35,0.0,False
10^8 (Positive Control),100000000.0,40,0.0,False
10^8 (Positive Control),100000000.0,45,0.0,False
10^8 (Positive Control),100000000.0,50,4.0,False
10^8 (Positive Control),100000000.0,55,4.0,False
10^8 (Positive Control),100000000.0,60,4.0,False
10^8 (Positive Control),100000000.0,65,4.0,False
10^8 (Positive Control),100000000.0,70,4.0,False
10^8 (Positive Control),100000000.0,75,4.0,False
10^8 (Positive Control),100000000.0,80,4.0,False
10^8 (Positive Control),100000000.0,85,4.0,False
10^8 (Positive Control),100000000.0,90,4.0,False
10^8 (Positive Control),100000000.0,95,4.0,False
10^8 (Positive Control),100000000.0,100,4.0,False
10^8 (Positive Control),100000000.0,105,4.0,False
10^8 (Positive Control),100000000.0,110,5.0,True
10^8 (Positive Control),100000000.0,115,2.0,False
10^8 (Positive Control),100000000.0,120,0.0,False
0 (Sterile Negative Control),0.0,0,0.0,False
0 (Sterile Negative Control),0.0,5,0.0,False
0 (Sterile Negative Control),0.0,10,0.0,False
0 (Sterile Negative Control),0.0,15,0.0,False
0 (Sterile Negative Control),0.0,20,0.0,False
0 (Sterile Negative Control),0.0,25,0.0,False
0 (Sterile Negative Control),0.0,30,0.0,False
0 (Sterile Negative Control),0.0,35,0.0,False
0 (Sterile Negative Control),0.0,40,0.0,False
0 (Sterile Negative Control),0.0,45,0.0,False
0 (Sterile Negative Control),0.0,50,0.0,False
0 (Sterile Negative Control),0.0,55,4.0,False
0 (Sterile Negative Control),0.0,60,2.0,False
0 (Sterile Negative Control),0.0,65,2.0,False
0 (Sterile Negative Control),0.0,70,4.0,False
0 (Sterile Negative Control),0.0,75,4.0,False
0 (Sterile Negative Control),0.0,80,4.0,False
0 (Sterile Negative Control),0.0,85,4.0,False
0 (Sterile Negative Control),0.0,90,4.0,False
0 (Sterile Negative Control),0.0,95,4.0,False
0 (Sterile Negative Control),0.0,100,4.0,False
0 (Sterile Negative Control),0.0,105,0.0,False
0 (Sterile Negative Control),0.0,110,0.0,False
0 (Sterile Negative Control),0.0,115,0.0,False
0 (Sterile Negative Control),0.0,120,2.0,False

# SLOPE SCORES — PER-GROUP SUMMARY
group,concentration_cfu_ml,slope_total_score,slope_event_count,detected,first_detection_min
10^1 ,10.0,5.0,0,False,
10^2,100.0,8.0,0,False,
10^3,1000.0,40.0,0,False,
10^4,10000.0,48.0,1,False,
10^5,100000.0,49.0,0,False,
10^6,1000000.0,30.0,1,False,
10^7,10000000.0,41.0,1,False,
10^8 (Positive Control),100000000.0,55.0,1,False,
0 (Sterile Negative Control),0.0,38.0,0,False,
